"H","L0601","032","645220","Maria","e689cee6-d906-428d-b4a4-4376775977c7","C",,,,,,,,,,,,,,,,,,,,,
"F","SUPC","Case Qty","Split Qty","Code","Item Status","Replaced Item","Pack","Size","Unit","Brand","Mfr #","Desc","Cat","Case $","Split $","Per Lb","Market","Splittable","Splits","Min Split","Net Wt","Lead Time","Stock","Substitute","Agr",,
"P","9903790",,,,,,"6","114 OZ","OZ","HOUSE RECIPE IMPERIAL","HOUY59P","Ketchup Jug Red In Plastic Bottle With Pump","Canned & Dry",44.11,,"N",,false,,0,42.75,,"STOCKED",,"N",,
"P","4560934",,,,,,"36","14 OZ","OZ","HOUSE RECIPE IMPERIAL","HOUYA1R","Ketchup Squeeze Red Bottle","Canned & Dry",50.37,,"N",,false,,0,31.5,,"STOCKED",,"N",,
"P","8379251",,,,,,"1","25 LB","LB","SYSCO CLASSIC","734730-23957","Flour All Purpose Hotel & Restaurant Bleached Enriched Malted","Canned & Dry",11.39,,"N",,false,,0,25,,"STOCKED",,"N",,
"P","1974989",,,,,,"4","1 GAL","GAL","COOL CRISP","Z733CC","Pepper Jalapeno Sliced Smooth Cut","Canned & Dry",39.25,,"N",,false,,0,36.5,,"STOCKED",,"N",,
"P","4123196",,,,,,"6","1000CT","CT","SYSCO CLASSIC","34583","Salt Iodized Fine 0.6 Gram Packets","Canned & Dry",28.99,,"N",,false,,0,7.93,,"STOCKED",,"N",,
"P","9939950",,,,"Phased Out",,"4","1 GAL","GAL","SYSCO RELIANCE","9260 7411 CLS","Mayonnaise Heavy Duty Liberty","Canned & Dry",47.95,,"N",,false,,0,32.26,,"NONSTOCK",,"N",,
"P","5229125",,,,,,"6","20 OZ","OZ","SYSCO IMPERIAL/MCCORMICK","974307","Spice Onion Powder","Canned & Dry",,11.58,"N",,true,,1,7.5,,"STOCKED",,"N",,
"P","9608076",,,,,,"24","15.5OZ",,"ARIZONA BEVERAGES","","Drink Tea Lemon","Canned & Dry",22.75,,"N",,false,,0,12,,"STOCKED",,"N",,
"P","6824460",,,,,,"12","29 OZ","OZ","DOLE","77507","Pineapple Tidbits Light Syrup","Canned & Dry",54.49,,"N",,false,,0,21.75,,"STOCKED",,"N",,
"P","4782694",,,,,,"1","50 LB","LB","SYSCO CLASSIC","403434","Sugar Granulated Extra Fine Cane","Canned & Dry",47.55,,"N",,false,,0,50,,"STOCKED",,"N",,
"P","5847011",,,,,,"3","1GAL","GAL","ARREZZIO CLASSIC","311149","Oil Olive Pomace","Canned & Dry",106.99,39.35,"N",,true,,1,23,,"STOCKED",,"N",,
"P","2751679",,,,,,"24","12 OZ","OZ","TOPOCHICO","928","Water Mineral Mexico Glass Bottle Bottle","Canned & Dry",36.35,,"N",,false,,0,34,,"STOCKED",,"N",,
"P","0818047",,,,,,"1","25 LB","LB","JADE MOUNTAIN IMPERIAL","7486596674","Rice Jasmine Thai Premium Grade","Canned & Dry",33.99,,"N",,false,,0,25,,"STOCKED",,"N",,
"P","4700417",,,,,,"12","8 OZ","OZ","HOUSE RECIPE CLASSIC","776552","Mustard Squeeze Bottle","Canned & Dry",16.05,,"N",,false,,0,6,,"STOCKED",,"N",,
"P","4183968",,,,,,"1","50 LB","LB","SYSCO CLASSIC","P1110502SY","Bean Pinto Dried Multi-cleaned","Canned & Dry",43.93,,"N",,false,,0,50,,"STOCKED",,"N",,
"P","0730947",,,,,,"24","355 ML","ML","SPRITE SODA (COCA COLA)","00049000048964","Soda Sprite Mexican Glass Non Returnable","Canned & Dry",44.65,,"N",,false,,0,43,,"STOCKED",,"N",,
"P","6520779",,,,,,"30","20 OZ","OZ","HEINZ","10013000050200","Ketchup Squeeze Upside Down","Canned & Dry",76.26,,"N",,false,,0,37.5,,"STOCKED",,"N",,
"P","0774853",,,,,,"12","8 OZ","OZ","FRENCH'S","418502600","Mustard Squeezable","Canned & Dry",22.95,,"N",,false,,0,6,,"STOCKED",,"N",,
"P","4671434",,,,,,"1","50 LB","LB","SYSCO CLASSIC","B1YI50560","Rice Long Grain 4% Broken","Canned & Dry",26.95,,"N",,false,,0,49.9,,"STOCKED",,"N",,
"P","8312017",,,,,,"24","12.5OZ","OZ","JARRITO","010808","Soda Guava","Canned & Dry",25.95,,"N",,false,,0,18.75,,"STOCKED",,"N",,
"P","8299002",,,,,,"24","12.5OZ","OZ","JARRITO","010807","Soda Pineapple","Canned & Dry",25.95,,"N",,false,,0,31.7,,"STOCKED",,"N",,
"P","7193229",,,,,,"24","524 ML","ML","JARRITO","0115505","Soda Grapefruit Pet","Canned & Dry",25.79,,"N",,false,,0,26.55,,"NONSTOCK",,"N",,
"P","8302034",,,,,,"24","12.5OZ","OZ","JARRITO","010811","Soda Mango Flavored","Canned & Dry",25.95,,"N",,false,,0,32.7,,"STOCKED",,"N",,
"P","8299044",,,,,,"24","12.5OZ","OZ","JARRITO","010802","Soda Tamarind","Canned & Dry",25.95,,"N",,false,,0,31.7,,"STOCKED",,"N",,
